frame,time(s),L hip,R hip,L knee,R knee,L ankle,R ankle,L crutch,R crutch,M_L crutch,M_R crutch,thigh c_x,thigh c_y,shank c_x,shank c_y
159,0.6625,8.672,-17.501,5.589,24.312,21.068,10.284,,56.086,,,918.9999962,605.4999948,941.4999962,843.5000074
160,0.666666667,8.162,-17.501,5.588,24.312,21.781,10.335,,56.245,,,918.9999962,605.4999948,941.4999962,843.5000074
161,0.670833333,8.28,-17.501,5.65,24.312,21.831,10.361,,56.312,,,918.9999962,605.4999948,941.4999962,843.5000074
162,0.675,8.329,-17.501,5.409,24.064,22.119,8.059,,56.351,,,918.9999962,606.0000122,941.9999886,844.0000248
163,0.679166667,8.378,-17.501,5.434,24.299,22.258,10.185,,56.462,,,918.9999962,606.0000122,941.4999962,844.0000248
164,0.683333333,7.845,-17.501,5.685,24.312,22.32,10.129,,56.539,,,918.9999962,605.4999948,941.4999962,843.5000074
165,0.6875,7.855,-17.501,5.69,24.064,22.58,8.248,,56.749,,,918.9999962,606.0000122,941.9999886,844.0000248
166,0.691666667,7.901,-17.969,5.657,24.52,22.629,8.415,,56.827,,,919.4999886,606.0000122,942.4999809,844.0000248
167,0.695833333,7.836,-17.969,5.661,24.52,23,8.638,,56.556,,,919.4999886,606.0000122,942.4999809,844.0000248
168,0.7,7.874,-17.969,5.711,24.52,23.137,8.458,,56.537,,,919.4999886,606.0000122,942.4999809,844.0000248
169,0.704166667,8.235,-17.969,5.58,24.52,23.269,8.1,,56.871,,,919.4999886,606.0000122,942.4999809,844.0000248
170,0.708333333,8.262,-17.969,5.536,24.52,23.384,8.062,,57.118,,,919.4999886,606.0000122,942.4999809,844.0000248
171,0.7125,8.174,-17.969,5.53,24.59,23.647,8.455,,56.911,,,919.4999886,606.5000135,942.4999809,844.0000248
172,0.716666667,8.249,-17.501,5.575,24.369,23.801,8.421,,56.904,,,919.9999809,606.5000135,942.4999809,844.0000248
173,0.720833333,7.891,-17.969,5.653,24.811,23.901,8.187,,56.877,,,919.9999809,606.5000135,942.9999733,844.0000248
174,0.725,8.348,-17.969,5.699,24.59,23.886,8.354,,56.888,,,920.4999733,606.5000135,942.9999733,844.0000248
175,0.729166667,7.848,-17.969,5.439,24.59,23.838,8.402,,56.948,,,920.4999733,606.5000135,942.9999733,844.0000248
176,0.733333333,8.311,-17.969,5.413,24.59,23.767,8.083,,56.957,,,920.4999733,606.5000135,942.9999733,844.0000248
177,0.7375,8.296,-17.969,5.347,24.59,23.811,7.963,,56.947,,,920.4999733,606.5000135,942.9999733,844.0000248
178,0.741666667,8.297,-17.969,5.294,24.59,23.808,7.861,,57.138,,,920.4999733,606.5000135,942.9999733,844.0000248
179,0.745833333,8.291,-17.969,5.291,25.281,23.869,7.953,,57.164,,,920.9999943,606.5000135,943.4999943,844.0000248
