frame,time(s),R knee (deg)
880,3.666666667,141.253
881,3.670833333,141.229
882,3.675,141.229
883,3.679166667,141.058
884,3.683333333,141.058
885,3.6875,141.141
886,3.691666667,141.058
887,3.695833333,141.058
888,3.7,141.058
889,3.704166667,141.058
890,3.708333333,140.799
891,3.7125,141.058
892,3.716666667,141.058
893,3.720833333,141.058
894,3.725,141.058
895,3.729166667,141.401
896,3.733333333,140.799
897,3.7375,141.058
898,3.741666667,141.058
899,3.745833333,141.401
900,3.75,141.082
901,3.754166667,141.425
902,3.758333333,141.164
903,3.7625,141.164
904,3.766666667,141.164
905,3.770833333,141.164
906,3.775,141.164
907,3.779166667,141.394
908,3.783333333,141.058
909,3.7875,141.223
910,3.791666667,141.223
911,3.795833333,140.964
912,3.8,141.058
913,3.804166667,140.799
914,3.808333333,141.364
915,3.8125,140.799
916,3.816666667,140.941
917,3.820833333,140.683
918,3.825,140.683
919,3.829166667,140.683
920,3.833333333,140.683
921,3.8375,140.513
922,3.841666667,140.771
923,3.845833333,140.682
924,3.85,140.588
925,3.854166667,140.568
926,3.858333333,140.568
927,3.8625,140.329
928,3.866666667,140.254
929,3.870833333,139.971
930,3.875,139.826
931,3.879166667,140.07
932,3.883333333,139.971
933,3.8875,139.567
934,3.891666667,139.567
935,3.895833333,139.324
936,3.9,139.307
937,3.904166667,139.127
938,3.908333333,139.063
939,3.9125,138.803
940,3.916666667,138.698
941,3.920833333,138.529
942,3.925,138.608
943,3.929166667,138.193
944,3.933333333,138.285
945,3.9375,138.023
946,3.941666667,137.762
947,3.945833333,137.501
948,3.95,137.239
949,3.954166667,136.904
950,3.958333333,136.482
951,3.9625,136.812
952,3.966666667,136.383
953,3.970833333,136.122
954,3.975,135.691
955,3.979166667,135.523
956,3.983333333,135.263
957,3.9875,135.169
958,3.991666667,134.665
959,3.995833333,134.569
960,4,133.965
961,4.004166667,133.705
962,4.008333333,133.705
963,4.0125,133.442
964,4.016666667,132.669
965,4.020833333,132.307
966,4.025,132.474
967,4.029166667,131.608
968,4.033333333,131.277
969,4.0375,131.179
970,4.041666667,130.915
971,4.045833333,130.464
972,4.05,130.216
973,4.054166667,129.754
974,4.058333333,129.607
975,4.0625,129.214
976,4.066666667,129.069
977,4.070833333,128.784
978,4.075,128.181
979,4.079166667,127.916
980,4.083333333,127.476
981,4.0875,126.508
982,4.091666667,126.695
983,4.095833333,126.139
984,4.1,125.875
985,4.104166667,125.165
986,4.108333333,124.814
987,4.1125,124.549
988,4.116666667,124.21
989,4.120833333,123.501
990,4.125,123.343
991,4.129166667,122.995
992,4.133333333,122.395
993,4.1375,121.91
994,4.141666667,121.49
995,4.145833333,121.115
996,4.15,120.627
997,4.154166667,120.33
998,4.158333333,120.144
999,4.1625,119.705
1000,4.166666667,119.374
1001,4.170833333,118.708
1002,4.175,118.376
1003,4.179166667,118.226
1004,4.183333333,117.641
1005,4.1875,117.204
1006,4.191666667,116.528
1007,4.195833333,116.273
1008,4.2,115.782
1009,4.204166667,115.033
1010,4.208333333,115.033
1011,4.2125,114.279
1012,4.216666667,114.053
1013,4.220833333,113.485
1014,4.225,113.485
1015,4.229166667,112.729
1016,4.233333333,112.653
1017,4.2375,112.151
1018,4.241666667,111.574
1019,4.245833333,111.254
1020,4.25,110.864
1021,4.254166667,110.168
1022,4.258333333,109.918
1023,4.2625,109.044
1024,4.266666667,108.957
1025,4.270833333,108.443
1026,4.275,107.948
1027,4.279166667,107.159
1028,4.283333333,106.995
1029,4.2875,106.666
1030,4.291666667,106.421
1031,4.295833333,105.853
1032,4.3,105.088
1033,4.304166667,104.955
1034,4.308333333,104.3
1035,4.3125,103.905
1036,4.316666667,103.171
1037,4.320833333,102.496
1038,4.325,102.161
1039,4.329166667,101.727
1040,4.333333333,101.233
1041,4.3375,100.703
1042,4.341666667,100.591
1043,4.345833333,100.101
1044,4.35,99.332
1045,4.354166667,99.332
1046,4.358333333,98.665
1047,4.3625,97.689
1048,4.366666667,97.763
1049,4.370833333,97.099
1050,4.375,96.442
1051,4.379166667,96.209
1052,4.383333333,95.748
1053,4.3875,94.977
1054,4.391666667,95.09
1055,4.395833333,94.32
1056,4.4,93.544
1057,4.404166667,93.347
1058,4.408333333,92.375
1059,4.4125,91.921
1060,4.416666667,91.495
1061,4.420833333,90.949
1062,4.425,90.5
1063,4.429166667,90.155
1064,4.433333333,89.383
1065,4.4375,88.834
1066,4.441666667,88.391
1067,4.445833333,87.973
1068,4.45,87.423
1069,4.454166667,86.871
1070,4.458333333,86.572
1071,4.4625,86.021
1072,4.466666667,85.364
1073,4.470833333,84.932
1074,4.475,84.796
1075,4.479166667,84.027
1076,4.483333333,83.824
1077,4.4875,83.055
1078,4.491666667,82.633
1079,4.495833333,81.882
1080,4.5,81.115
1081,4.504166667,80.919
1082,4.508333333,80.153
1083,4.5125,80.104
1084,4.516666667,79.485
1085,4.520833333,78.846
1086,4.525,78.286
1087,4.529166667,78.175
1088,4.533333333,77.204
1089,4.5375,76.928
1090,4.541666667,76.166
1091,4.545833333,75.695
1092,4.55,75.331
1093,4.554166667,74.844
1094,4.558333333,74.667
1095,4.5625,74.193
1096,4.566666667,73.643
1097,4.570833333,73.275
1098,4.575,72.538
1099,4.579166667,71.735
1100,4.583333333,71.28
1101,4.5875,71.088
1102,4.591666667,70.334
1103,4.595833333,69.979
1104,4.6,69.898
1105,4.604166667,69.733
1106,4.608333333,68.769
1107,4.6125,68.204
1108,4.616666667,67.426
1109,4.620833333,67.271
1110,4.625,66.522
1111,4.629166667,65.956
1112,4.633333333,65.57
1113,4.6375,65.389
1114,4.641666667,65.035
1115,4.645833333,64.32
1116,4.65,63.752
1117,4.654166667,63.577
1118,4.658333333,62.837
1119,4.6625,62.162
1120,4.666666667,61.595
1121,4.670833333,61.457
1122,4.675,60.892
1123,4.679166667,60.539
1124,4.683333333,60.201
1125,4.6875,59.407
1126,4.691666667,59.054
1127,4.695833333,58.488
1128,4.7,58.358
1129,4.704166667,57.367
1130,4.708333333,56.801
1131,4.7125,56.235
1132,4.716666667,56.235
1133,4.720833333,55.884
1134,4.725,55.533
1135,4.729166667,54.967
1136,4.733333333,54.284
1137,4.7375,53.876
1138,4.741666667,53.72
1139,4.745833333,53.156
1140,4.75,52.377
1141,4.754166667,52.225
1142,4.758333333,51.813
1143,4.7625,51.051
1144,4.766666667,51.099
1145,4.770833333,50.703
1146,4.775,49.922
1147,4.779166667,49.358
1148,4.783333333,49.306
1149,4.7875,48.888
1150,4.791666667,48.693
1151,4.795833333,47.711
1152,4.8,47.352
1153,4.804166667,46.633
1154,4.808333333,46.586
1155,4.8125,46.024
1156,4.816666667,45.682
1157,4.820833333,45.545
1158,4.825,45.121
1159,4.829166667,44.561
1160,4.833333333,44.221
1161,4.8375,43.84
1162,4.841666667,43.707
1163,4.845833333,42.712
1164,4.85,42.503
1165,4.854166667,42.105
1166,4.858333333,41.725
1167,4.8625,41.338
1168,4.866666667,41.002
1169,4.870833333,41.002
1170,4.875,40.446
1171,4.879166667,39.801
1172,4.883333333,39.678
1173,4.8875,39.244
1174,4.891666667,39.123
1175,4.895833333,38.466
1176,4.9,38.252
1177,4.904166667,37.662
1178,4.908333333,37.544
1179,4.9125,37.025
1180,4.916666667,36.372
1181,4.920833333,36.258
1182,4.925,36.258
1183,4.929166667,36.042
1184,4.933333333,35.929
1185,4.9375,35.378
1186,4.941666667,34.938
1187,4.945833333,35.052
1188,4.95,34.612
1189,4.954166667,34.612
1190,4.958333333,34.287
1191,4.9625,33.845
1192,4.966666667,33.845
1193,4.970833333,33.192
1194,4.975,33.251
1195,4.979166667,33.416
1196,4.983333333,32.531
